SATKER,TGL_DIFF,UP,REALGUP,PAGU,REALISASI,PAGU52,REAL52,PAGU53,REAL53,STATUS
239441,10,400000000,399707884,40800148000,14017284955,33161105000,10111916134,1614497000,269001013,1
537894,15,54000000,35952939,1743078000,947173527,1743078000,947173527,-,-,1
641592,3,30000000,29978000,34491545000,19943071380,16101341000,9563426857,-,-,1
417641,9,30600000,25000000,8636007000,4134156493,1864327000,890881041,207000000,-,1
498092,10,51000000,50818500,126750000000,21456548627,1750000000,666433827,125000000000,20790114800,1
415383,14,60000000,30563585,5127259000,2511611568,2166580000,900166511,46000000,-,1
418513,21,20000000,20000000,5270384000,2691966097,1028161000,495117797,245238000,129038000,1
683593,13,57000000,56953910,15395191000,8407302354,11083905000,5438426266,-,-,1
574366,10,20000000,20000000,5041207000,2796947126,1048172000,496480000,64200000,64200000,1
7233,7,36000000,35595000,5334731000,3414744914,1478445000,578813159,7000000,7000000,1
110100,7,400000000,399350748,177628052000,77100017649,177628052000,77100017649,-,-,1
637546,7,21000000,17770000,5590065000,2215229028,3718830000,1355466263,564267000,89734000,1
641592,7,30000000,26940000,34491545000,19943071380,16101341000,9563426857,-,-,1
672969,7,20000000,19548775,3967705000,2307741360,1405737000,869564696,87500000,84250000,1
418009,10,75000000,3778000,9905622000,4283235841,9905622000,4283235841,-,-,1
418310,10,54000000,41061802,1722484000,646236555,1708067000,637319755,14417000,8916800,1
418374,11,39000000,39000000,9163495000,6418899210,1613048000,968666000,375000000,363115000,1
428242,13,60000000,59406000,9962056000,5645302898,6750333000,3420664983,-,-,1
506126,14,60000000,30005700,1234115000,649161160,1234115000,649161160,0,0,1
650131,15,8000000,7111000,3918586000,2128127704,764615000,346372092,6000000,6000000,1
641698,18,300000000,300000000,50077448000,31365998485,14574164000,8589422910,0,0,1
440504,19,28000000,26711597,17556699000,8489077080,1073876000,481965985,104020000,87800000,1
424220,19,12000000,11946500,6709344000,4784043449,1413630000,669452373,243500000,232500000,1
110100,10,400000000,399145196,177628052000,77100017649,177628052000,77100017649,-,-,1
426035,12,11865000,11865000,7507473000,4887711138,1266274000,679694384,160000000,150000000,1
420148,28,120000000,117863820,5188256000,1586719362,5063345000,1484749362,124911000,101970000,1
656492,28,30000000,17956726,3373671000,1627001941,944848000,206256339,0,0,1
99228,29,40000000,24925000,641515000,278628221,641515000,278628221,0,0,0
402251,1,27000000,26967000,3506544000,2529231912,1122784000,813946631,10000000,9900000,1
634530,6,30000000,15629000,1439194000,814437291,1191434000,691232291,0,0,1
402252,6,5000000,3000000,199500000,174450000,199500000,174450000,0,0,1
418523,8,18000000,17783293,10308977000,5092972338,1805790000,798298499,1750000000,497012300,1
663212,14,4000000,3946500,175700000,88918400,175700000,88918400,-,-,1
626115,15,30000000,28012093,2990095000,1785281428,809853000,377561833,100000000,71449320,1
665311,27,300000000,291850000,58075013000,34048655666,14820883000,7785106965,916164000,266611242,1
406401,3,72000000,50610773,14625943000,7841315448,10753395000,5423057405,0,0,1
428270,12,30000000,16990663,7333696000,4812068317,3924619000,2628025022,0,0,1
680310,21,10000000,7263500,1638353000,814911387,398764000,193930500,32500000,31650000,1
526750,30,60000000,42604950,7798216000,4420463998,1453061000,785557566,158500000,157950000,1
119132,15,102000000,75874000,10388165000,5017836635,10388165000,5017836635,-,-,1
680310,18,10000000,8230500,1638353000,814911387,398764000,193930500,32500000,31650000,1
413293,21,180000000,139490292,44302886000,21749905012,23607300000,10390626997,2591141000,1194936200,1
666507,30,6000000,4367950,626405000,295091047,220690000,95001578,0,0,1
111804,8,30000000,26095105,3319375000,1668972650,892655000,259447840,0,0,1
641504,25,45000000,45000000,27392137000,15915851914,6399705000,2814168680,-,-,1
553807,26,15000000,10000000,4359937000,2307176184,771904000,353050000,61310000,21310000,1
420033,42,7900000,7900000,848340000,452353562,300034000,127374000,21950000,11300000,0
418400,26,30000000,26153637,2040082000,1185909364,846098000,511255037,32000000,31975000,1
402274,13,10000000,7500000,184374000,113548000,184374000,113548000,-,-,1
403410,18,2400000,2400000,92600000,53000000,92600000,53000000,0,0,1
553125,20,30000000,29320000,4662277000,2564222928,925706000,428175939,109150000,109102000,1
7233,33,36000000,34761688,5334731000,3414744914,1478445000,578813159,7000000,7000000,0
637550,10,30000000,19899369,4830164000,2221775590,3153094000,1222599058,18722000,17220000,1
7102,28,180000000,159549397,81935746000,41847289720,9377189000,2697363698,42000000,34900000,1
426066,28,50000000,43544500,6482547000,3515904115,1626912000,647500500,250000000,209950000,1
431127,29,100000000,66317973,14423694000,3191369149,12849198000,2362248919,50785000,0,1
402251,2,27000000,24646000,3506544000,2529231912,1122784000,813946631,10000000,9900000,1
622372,9,150000000,147906784,16209129000,8260051862,7439281000,3977119627,1600000000,450167554,1
431170,29,20000000,17285285,8645755000,3633240122,5434022000,2412467810,1550785000,370150942,1
111910,14,15000000,14998867,5192721000,2627745590,3279949000,1714141760,1044893000,387202019,1
352427,23,32000000,31824557,7000000000,31824557,7000000000,31824557,0,0,1
418402,28,42000000,21706130,27127625000,15569245202,1003432000,451185472,83900000,78790000,1
418508,18,36000000,36000000,9517075000,4932123426,2402640000,946785344,0,0,1
424214,24,60000000,59120000,9236035000,6024099966,1332846000,681321500,193000000,120643000,1
418897,14,7500000,7500000,1640194000,1211527755,789404000,532367000,32000000,31850000,1
670561,17,15000000,14646613,4815085000,1841574365,3638553000,1153393700,50785000,0,1
561541,24,90000000,85291443,10661579000,5486002291,3159928000,1336018942,351462000,-,1
682914,9,60000000,42653366,1870653000,989775156,1870653000,989775156,0,0,1
641571,1,33000000,32161000,98712647000,36255128982,62870634000,25915364574,30227700000,7155747775,1
7151,10,60000000,59961340,9878070000,6352540303,2424734000,1765731509,7000000,7000000,1
427454,14,60000000,32599750,11504211000,3983356598,2222820000,1020901225,90000000,-,1
418352,14,90000000,55073268,13262274000,7114572221,5527812000,2152470532,1215041000,148432000,1
406457,14,36000000,36000000,15243806000,9230095089,11168219000,6598239134,0,0,1
119028,17,60000000,60000000,1440000000,647901100,1440000000,647901100,-,-,1
7165,21,48000000,43565000,7242482000,4108090637,1592668000,580927608,7000000,0,1
561541,5,90000000,89517670,10661579000,5486002291,3159928000,1336018942,351462000,-,1
411702,5,60000000,49340250,5169044000,2821587584,5169044000,2821587584,-,-,1
350170,6,20000000,18050000,1663978000,1321713900,1663978000,1321713900,0,0,1
119037,6,17000000,16920000,954102000,357655501,954102000,357655501,-,-,1
403408,7,7800000,7800000,135500000,61949996,135500000,61949996,0,0,1
662127,29,50000000,33546200,2734647000,1489362492,978242000,485752310,125000000,125000000,1
418375,29,6000000,5443020,1040950000,588257873,229940000,100610926,-,-,1
681510,31,3000000,3000000,448948000,139588723,158530000,76610000,0,0,1
237788,3,90000000,81516201,15079783000,8835880280,8091986000,4322898007,761120000,653108000,1
418509,4,33000000,33000000,33956654000,16770924415,2369362000,1243813000,258650000,248155000,1
418456,8,10000000,9669319,2257030000,1303109450,794587000,436132669,32000000,29453850,1
426029,41,10300000,10142000,1197897000,696248994,274320000,134586000,0,0,1
418507,11,7000000,6995339,2163892000,1219435442,813776000,462143938,32000000,31925000,1
98942,14,42000000,41989256,18877945000,11957244758,2803926000,1571109751,443000000,391654000,1
98991,7,30000000,29631754,5619549000,3153508449,1339370000,879118164,181500000,181325000,1
406381,7,48000000,47762500,14388787000,7831208095,9097740000,4439650999,-,-,1
406402,7,30000000,29483400,9523262000,5786865308,5442466000,3193107308,0,0,1
